Time,     Etot,         Epot,         Ekin,       Elj12,        Elj6,        Temp
0.000000, -5.127557, -7.134158, 2.006601, 7.485203, -14.619361, 40.244709
0.001000, -5.127666, -7.115742, 1.988076, 7.851874, -14.967616, 39.873158
0.002000, -5.127760, -7.083555, 1.955795, 8.238843, -15.322398, 39.225742
0.003000, -5.127830, -7.036687, 1.908857, 8.644063, -15.680750, 38.284348
0.004000, -5.127868, -6.974657, 1.846790, 9.064383, -16.039040, 37.039501
0.005000, -5.127851, -6.897568, 1.769717, 9.495352, -16.392920, 35.493721
0.006000, -5.127779, -6.806313, 1.678534, 9.931005, -16.737318, 33.664944
0.007000, -5.127637, -6.702703, 1.575066, 10.363720, -17.066423, 31.589769
0.008000, -5.127423, -6.589609, 1.462186, 10.784227, -17.373837, 29.325829
0.009000, -5.127137, -6.470989, 1.343852, 11.181654, -17.652643, 26.952505
